NUMERIC REFERENCE,REFERENCE,CITATION,NUMBER OF OCCURRENCES
380,"Mateo Sanz, G., J.M. Martínez Labarga, Ó. García Cardo & J. García Muñoz (2024). Adiciones a la flora de la provincia de Guadalajara, VII. Flora Montiberica 89: 105-109.","Mateo Sanz, G., J.M. Martínez Labarga, Ó. García Cardo & J. García Muñoz (2024). Adiciones a la flora de la provincia de Guadalajara, VII. Flora Montiberica 89: 105-109.",47
490,"Serra Laliga, L., Agueras, M., Cutillas, A., Lario, A., Espinosa, V., Fernández, B., Fidel, L., Hernández, J.C., Laguna, E., Liaña, D., Martí, E., Mir Pegueroles, C., Navarro, S., Núñez, A., Oltra, J. E., Sanchís, M.J., Tornero, J.A. & Torregrosa, R., (2022) Adiciones y correcciones a la orquidoflora valenciana.  Flora Montiberica, (84), 41-49.. http://www.floramontiberica.org/FM/Flora_Montiberica84.pdf","Serra Laliga, L., Agueras, M., Cutillas, A., Lario, A., Espinosa, V., Fernández, B., Fidel, L., Hernández, J.C., Laguna, E., Liaña, D., Martí, E., Mir Pegueroles, C., Navarro, S., Núñez, A., Oltra, J. E., Sanchís, M.J., Tornero, J.A. & Torregrosa, R., (2022) Adiciones y correcciones a la orquidoflora valenciana.  Flora Montiberica, (84), 41-49.. http://www.floramontiberica.org/FM/Flora_Montiberica84.pdf",46
168,"Aizpuru, I., Arbelaitz, E., Garmendia,  J., Olariaga, I., Terés, J. & Zendoia, I. (2005) Contribuciones al conocimiento de la flora del País Vasco (VII). Munibe (Ciencias Naturales-Natur Zientziak) (56). 55-60. https://www.aranzadi.eus/fileadmin/docs/Munibe/2005055060CN.pdf","Aizpuru, I., Arbelaitz, E., Garmendia,  J., Olariaga, I., Terés, J. & Zendoia, I. (2005) Contribuciones al conocimiento de la flora del País Vasco (VII). Munibe (Ciencias Naturales-Natur Zientziak) (56). 55-60. https://www.aranzadi.eus/fileadmin/docs/Munibe/2005055060CN.pdf",44
284,"García Alonso, D., Márquez García, F. & Vázquez Pardo, F.M. (2021) Lemna Valdiviana Phil. Folia Botanica Extremadurensis, 15, 109 - 114. http://cicytex.juntaex.es/es/descargas/publicaciones-periodicas/83/folia-botanica-extremadurensis","García Alonso, D., Márquez García, F. & Vázquez Pardo, F.M. (2021) Lemna Valdiviana Phil. Folia Botanica Extremadurensis, 15, 109 - 114. http://cicytex.juntaex.es/es/descargas/publicaciones-periodicas/83/folia-botanica-extremadurensis",44
468,"Sáez, J. A. A., Urarte, J. A. A., Ayuso, J. B., Hermosilla, C. E., & Martín, C. M. (2022). Minuartia verna (L.) Hiern subsp. verna en el Sistema Ibérico septentrional (nota aclaratoria). Flora Montiberica, (83), 19-26.. http://www.floramontiberica.org/FM/Flora_Montiberica83.pdf","Sáez, J. A. A., Urarte, J. A. A., Ayuso, J. B., Hermosilla, C. E., & Martín, C. M. (2022). Minuartia verna (L.) Hiern subsp. verna en el Sistema Ibérico septentrional (nota aclaratoria). Flora Montiberica, (83), 19-26.. http://www.floramontiberica.org/FM/Flora_Montiberica83.pdf",44
472,"Sánchez-Gómez, P., Cánovas, J.L., Jiménez, J.F. 2021. Insights on a rare species, Geum atlanticum, new data to differentiate from Geum sylvaticum. Mediterranean Botany 42. DOI: https://dx.doi.org/10.5209/mbot.68011. https://revistas.ucm.es/index.php/MBOT/article/view/68011/4564456556692","Sánchez-Gómez, P., Cánovas, J.L., Jiménez, J.F. 2021. Insights on a rare species, Geum atlanticum, new data to differentiate from Geum sylvaticum. Mediterranean Botany 42. DOI: https://dx.doi.org/10.5209/mbot.68011. https://revistas.ucm.es/index.php/MBOT/article/view/68011/4564456556692",44
477,"Sanna, M., Cires, E. & Fernández-Prieto, J.A. (2020) Diversidad haplotípica en Saxifraga sección Gymnopera D. Don (Saxifragaceae). Munibe Monographs. Nature Series. 4 , 161-166. https://www.aranzadi.eus/fileadmin/docs/Munibe/Munibe_MNS_04.pdf","Sanna, M., Cires, E. & Fernández-Prieto, J.A. (2020) Diversidad haplotípica en Saxifraga sección Gymnopera D. Don (Saxifragaceae). Munibe Monographs. Nature Series. 4 , 161-166. https://www.aranzadi.eus/fileadmin/docs/Munibe/Munibe_MNS_04.pdf",44
185,"Baonza, J. (2006). Crataegus laciniata en la sierra de Alcaraz. Conservación Vegetal. 10, 23 - 24. https://repositorio.uam.es/bitstream/handle/10486/665526/CV_10_14.pdf?sequence=1&isAllowed=y","Baonza, J. (2006). Crataegus laciniata en la sierra de Alcaraz. Conservación Vegetal. 10, 23 - 24. https://repositorio.uam.es/bitstream/handle/10486/665526/CV_10_14.pdf?sequence=1&isAllowed=y",43
409,"Novoa-Fariñas, I., Ugarte, J., Urizabel, I., Ugarte-Zabaleta, I., Novoa, J. A., & Agirre-Barrena, H. (2021) Inventario y caracterización de los olmos (Ulmus spp.) de Oñati (País Vasco) y su utilidad para la detección de poblaciones asociadas de Satyrium w-album. Munibe, Cienc. nat. 69, 21-37. https://www.aranzadi.eus/fileadmin/docs/Munibe/mcn.2021.69.02.pdf","Novoa-Fariñas, I., Ugarte, J., Urizabel, I., Ugarte-Zabaleta, I., Novoa, J. A., & Agirre-Barrena, H. (2021) Inventario y caracterización de los olmos (Ulmus spp.) de Oñati (País Vasco) y su utilidad para la detección de poblaciones asociadas de Satyrium w-album. Munibe, Cienc. nat. 69, 21-37. https://www.aranzadi.eus/fileadmin/docs/Munibe/mcn.2021.69.02.pdf",43
433,"Pino Pérez, R., Pino Pérez, J. J. , Silvia Pando, F. J. , & Camaño Portela, J. L.(2021). Asientos Corológicos FBIGA, 2019-2020. Boletín BIGA, (19), 5-77.. http://www.floramontiberica.org/FM/Flora_Montiberica85.pdf","Pino Pérez, R., Pino Pérez, J. J. , Silvia Pando, F. J. , & Camaño Portela, J. L.(2021). Asientos Corológicos FBIGA, 2019-2020. Boletín BIGA, (19), 5-77.. http://www.floramontiberica.org/FM/Flora_Montiberica85.pdf",43
