"Taxon","UTM10x10","UTM1x1","Ref"
"Lythrum baeticum","30SWK72","---","García Cardo et al., 2020"
"Lythrum baeticum","30SWK21","---","García Cardo et al., 2020"
"Lythrum baeticum","30SWK91","---","García Cardo et al., 2020"
"Menyanthes trifoliata","30TXK15","---","García Cardo et al., 2020"
"Orthilia secunda","30TWK87","---","García Cardo et al., 2020"
"Orthilia secunda","30TXK04","---","García Cardo et al., 2020"
"Paris quadrifolia","30TWK86","---","García Cardo et al., 2020"
"Paris quadrifolia","30TWK88","---","García Cardo et al., 2020"
"Paris quadrifolia","30TWK97","---","García Cardo et al., 2020"
"Paris quadrifolia","30TWK98","---","García Cardo et al., 2020"
"Paris quadrifolia","30TXK05","---","García Cardo et al., 2020"
"Paris quadrifolia","30TXK04","---","García Cardo et al., 2020"
"Primula farinosa","30TXK16","---","García Cardo et al., 2020"
"Primula farinosa","30TXK15","---","García Cardo et al., 2020"
"Primula farinosa","30TXK05","---","García Cardo et al., 2020"
"Pyrola minor","30TWK88","---","García Cardo et al., 2020"
"Pyrola minor","30TXK05","---","García Cardo et al., 2020"
"Pyrola minor","30TXK04","---","García Cardo et al., 2020"
"Rubus saxatilis","30TWK85","---","García Cardo et al., 2020"
"Rubus saxatilis","30TWK86","---","García Cardo et al., 2020"
"Rubus saxatilis","30TWK88","---","García Cardo et al., 2020"
"Rubus saxatilis","30TWK83","---","García Cardo et al., 2020"
"Rubus saxatilis","30TWK97","---","García Cardo et al., 2020"
"Rubus saxatilis","30TWK98","---","García Cardo et al., 2020"
"Rubus saxatilis","30TXK16","---","García Cardo et al., 2020"
"Rubus saxatilis","30TXK15","---","García Cardo et al., 2020"
"Rubus saxatilis","30TXK06","---","García Cardo et al., 2020"
"Rubus saxatilis","30TXK05","---","García Cardo et al., 2020"
"Rubus saxatilis","30TXK04","---","García Cardo et al., 2020"
"Rubus saxatilis","30TXK33","---","García Cardo et al., 2020"
"Salix caprea","30TWK89","---","García Cardo et al., 2020"
"Salix caprea","30TWK97","---","García Cardo et al., 2020"
"Salix caprea","30TWK98","---","García Cardo et al., 2020"
"Scorzonera humilis","30TWK94","---","García Cardo et al., 2020"
"Scorzonera humilis","30TWK84","---","García Cardo et al., 2020"
"Scorzonera humilis","30TWK85","---","García Cardo et al., 2020"
"Scorzonera humilis","30TWK75","---","García Cardo et al., 2020"
"Scorzonera humilis","30TWK95","---","García Cardo et al., 2020"
"Scorzonera humilis","30TWK96","---","García Cardo et al., 2020"
"Scorzonera humilis","30TXK15","---","García Cardo et al., 2020"
"Scorzonera humilis","30TXK05","---","García Cardo et al., 2020"
"Scorzonera humilis","30TXK04","---","García Cardo et al., 2020"
"Scrophularia alpestris","30TXK14","---","García Cardo et al., 2020"
"Senecio auricula","30SWJ27","---","García Cardo et al., 2020"
"Senecio auricula","30TWK35","---","García Cardo et al., 2020"
"Senecio auricula","30TWK55","---","García Cardo et al., 2020"
"Senecio auricula","30TWK57","---","García Cardo et al., 2020"
"Senecio auricula","30TWK45","---","García Cardo et al., 2020"
"Senecio auricula","30TWK24","---","García Cardo et al., 2020"
"Senecio auricula","30TWK25","---","García Cardo et al., 2020"
"Silene boryi","30TWK98","---","García Cardo et al., 2020"
"Swertia perennis","30TXK15","---","García Cardo et al., 2020"
"Taxus baccata","30SWK92","---","García Cardo et al., 2020"
"Taxus baccata","30SWK82","---","García Cardo et al., 2020"
"Taxus baccata","30SXK12","---","García Cardo et al., 2020"
"Taxus baccata","30SXK01","---","García Cardo et al., 2020"
"Taxus baccata","30SXK30","---","García Cardo et al., 2020"
"Taxus baccata","30SXK20","---","García Cardo et al., 2020"
"Taxus baccata","30SXK22","---","García Cardo et al., 2020"
"Taxus baccata","30TWK65","---","García Cardo et al., 2020"
"Taxus baccata","30TWK67","---","García Cardo et al., 2020"
"Taxus baccata","30TWK69","---","García Cardo et al., 2020"
"Taxus baccata","30TWK59","---","García Cardo et al., 2020"
"Taxus baccata","30TWK68","---","García Cardo et al., 2020"
"Taxus baccata","30TWK84","---","García Cardo et al., 2020"
"Taxus baccata","30TWK85","---","García Cardo et al., 2020"
"Taxus baccata","30TWK86","---","García Cardo et al., 2020"
"Taxus baccata","30TWK87","---","García Cardo et al., 2020"
"Taxus baccata","30TWK88","---","García Cardo et al., 2020"
"Taxus baccata","30TWK89","---","García Cardo et al., 2020"
"Taxus baccata","30TWK74","---","García Cardo et al., 2020"
"Taxus baccata","30TWK83","---","García Cardo et al., 2020"
"Taxus baccata","30TWK76","---","García Cardo et al., 2020"
"Taxus baccata","30TWK73","---","García Cardo et al., 2020"
"Taxus baccata","30TWK78","---","García Cardo et al., 2020"
"Taxus baccata","30TWK75","---","García Cardo et al., 2020"
"Taxus baccata","30TWK79","---","García Cardo et al., 2020"
"Taxus baccata","30TWK95","---","García Cardo et al., 2020"
"Taxus baccata","30TWK96","---","García Cardo et al., 2020"
"Taxus baccata","30TWK97","---","García Cardo et al., 2020"
"Taxus baccata","30TWK98","---","García Cardo et al., 2020"
"Taxus baccata","30TWK99","---","García Cardo et al., 2020"
"Taxus baccata","30TXK16","---","García Cardo et al., 2020"
"Taxus baccata","30TXK15","---","García Cardo et al., 2020"
"Taxus baccata","30TXK06","---","García Cardo et al., 2020"
"Taxus baccata","30TXK14","---","García Cardo et al., 2020"
"Taxus baccata","30TXK07","---","García Cardo et al., 2020"
"Taxus baccata","30TXK05","---","García Cardo et al., 2020"
"Taxus baccata","30TXK04","---","García Cardo et al., 2020"
"Taxus baccata","30TXK33","---","García Cardo et al., 2020"
"Taxus baccata","30TXK24","---","García Cardo et al., 2020"
"Taxus baccata","30TXK25","---","García Cardo et al., 2020"
"Taxus baccata","30SWK72","---","García Cardo et al., 2020"
"Taxus baccata","30SWK70","---","García Cardo et al., 2020"
"Teucrium aristatum","30TWK37","---","García Cardo et al., 2020"
"Teucrium aristatum","30TWK43","---","García Cardo et al., 2020"
"Teucrium aristatum","30TWK44","---","García Cardo et al., 2020"
"Teucrium aristatum","30TWK46","---","García Cardo et al., 2020"
"Thalictrum flavum costae","30TWK85","---","García Cardo et al., 2020"
"Thalictrum flavum costae","30TWK87","---","García Cardo et al., 2020"
"Thalictrum flavum costae","30TWK88","---","García Cardo et al., 2020"
"Thalictrum flavum costae","30TWK97","---","García Cardo et al., 2020"
"Thalictrum flavum costae","30TWK98","---","García Cardo et al., 2020"
"Thalictrum flavum costae","30TWK99","---","García Cardo et al., 2020"
"Thalictrum flavum costae","30TXK16","---","García Cardo et al., 2020"
"Thalictrum flavum costae","30TXK15","---","García Cardo et al., 2020"
"Thalictrum flavum costae","30TXK06","---","García Cardo et al., 2020"
"Thalictrum flavum costae","30TXK07","---","García Cardo et al., 2020"
"Thalictrum flavum costae","30TXK05","---","García Cardo et al., 2020"
"Thalictrum flavum costae","30SWK72","---","García Cardo et al., 2020"
"Tilia platyphyllos platyphyllos","30SXK12","---","García Cardo et al., 2020"
"Tilia platyphyllos platyphyllos","30SXK22","---","García Cardo et al., 2020"
"Tilia platyphyllos platyphyllos","30TWK69","---","García Cardo et al., 2020"
"Tilia platyphyllos platyphyllos","30TWK68","---","García Cardo et al., 2020"
"Tilia platyphyllos platyphyllos","30TWK58","---","García Cardo et al., 2020"
"Tilia platyphyllos platyphyllos","30TWK84","---","García Cardo et al., 2020"
"Tilia platyphyllos platyphyllos","30TWK85","---","García Cardo et al., 2020"
"Tilia platyphyllos platyphyllos","30TWK86","---","García Cardo et al., 2020"
"Tilia platyphyllos platyphyllos","30TWK87","---","García Cardo et al., 2020"
"Tilia platyphyllos platyphyllos","30TWK88","---","García Cardo et al., 2020"
"Tilia platyphyllos platyphyllos","30TWK89","---","García Cardo et al., 2020"
"Tilia platyphyllos platyphyllos","30TWK74","---","García Cardo et al., 2020"
"Tilia platyphyllos platyphyllos","30TWK76","---","García Cardo et al., 2020"
"Tilia platyphyllos platyphyllos","30TWK78","---","García Cardo et al., 2020"
"Tilia platyphyllos platyphyllos","30TWK79","---","García Cardo et al., 2020"
"Tilia platyphyllos platyphyllos","30TWK95","---","García Cardo et al., 2020"
"Tilia platyphyllos platyphyllos","30TWK96","---","García Cardo et al., 2020"
"Tilia platyphyllos platyphyllos","30TWK97","---","García Cardo et al., 2020"
"Tilia platyphyllos platyphyllos","30TWK98","---","García Cardo et al., 2020"
"Tilia platyphyllos platyphyllos","30TWK99","---","García Cardo et al., 2020"
"Tilia platyphyllos platyphyllos","30TWK16","---","García Cardo et al., 2020"
"Tilia platyphyllos platyphyllos","30TXK15","---","García Cardo et al., 2020"
"Tilia platyphyllos platyphyllos","30TXK06","---","García Cardo et al., 2020"
"Tilia platyphyllos platyphyllos","30TXK14","---","García Cardo et al., 2020"
"Tilia platyphyllos platyphyllos","30TXK07","---","García Cardo et al., 2020"
"Tilia platyphyllos platyphyllos","30TXK05","---","García Cardo et al., 2020"
"Tilia platyphyllos platyphyllos","30TXK04","---","García Cardo et al., 2020"
"Tilia platyphyllos platyphyllos","30TXK33","---","García Cardo et al., 2020"
"Tilia platyphyllos platyphyllos","30TXK24","---","García Cardo et al., 2020"
"Tilia platyphyllos platyphyllos","30TXK25","---","García Cardo et al., 2020"
"Utricularia australis","30SWK92","---","García Cardo et al., 2020"
"Utricularia australis","30TXK14","---","García Cardo et al., 2020"
"Utricularia minor","30TWK98","---","García Cardo et al., 2020"
"Utricularia minor","30TXK07","---","García Cardo et al., 2020"
"Viburnum opulus","30SWK82","---","García Cardo et al., 2020"
"Viburnum opulus","30TWK69","---","García Cardo et al., 2020"
"Viburnum opulus","30TWK68","---","García Cardo et al., 2020"
"Viburnum opulus","30TWK94","---","García Cardo et al., 2020"
"Viburnum opulus","30TWK88","---","García Cardo et al., 2020"
"Viburnum opulus","30TWK89","---","García Cardo et al., 2020"
"Viburnum opulus","30TWK78","---","García Cardo et al., 2020"
"Viburnum opulus","30TWK79","---","García Cardo et al., 2020"
"Viburnum opulus","30TWK77","---","García Cardo et al., 2020"
"Viburnum opulus","30TXK05","---","García Cardo et al., 2020"
"Zannichellia contorta","30SWK90","---","García Cardo et al., 2020"
"Zannichellia contorta","30SWJ26","---","García Cardo et al., 2020"
