Taxon,UTM10x10
Amaranthus deflexus,29SPD18
Amaranthus deflexus,29TPF26
Amaranthus deflexus,29SPE41
Amaranthus deflexus,29TPF41
Amaranthus deflexus,29SPE52
Amaranthus deflexus,29TPE54
Amaranthus deflexus,29TPE63
Amaranthus deflexus,29TPF65
Amaranthus deflexus,29TPE79
Amaranthus deflexus,29TPF87
Amaranthus graecizans subsp. silvestris,29SPE32
Amaranthus hybridus,29TNE13
Amaranthus hybridus,29TNG30
Amaranthus hybridus,29TNF44
Amaranthus hybridus,29SNB80
Amaranthus hybridus,29SNB82
Amaranthus hybridus,29TPF07
Amaranthus hybridus,29TPE67
Amaranthus hybridus,29TPG84
Amaranthus hypochondriacus,29TPE66
Amaranthus powellii,29TNF29
Amaranthus powellii,29TNF39
Amaranthus powellii,29SND56
Amaranthus powellii,29TNF61
Amaranthus powellii,29SND78
Amaranthus powellii,29TPE76
Amaranthus retroflexus,29SMC87
Amaranthus retroflexus,29SND18
Amaranthus retroflexus,29SND34
Amaranthus retroflexus,29TNF35
Amaranthus retroflexus,29TNF38
Amaranthus retroflexus,29SND43
Amaranthus retroflexus,29TNE64
Amaranthus retroflexus,29SNB80
Amaranthus retroflexus,29SNB82
Amaranthus retroflexus,29SNE80
Amaranthus retroflexus,29SNE81
Amaranthus retroflexus,29SNB91
Amaranthus retroflexus,29TPF10
Amaranthus retroflexus,29TPF51
Amaranthus retroflexus,29TPE67
Amaranthus retroflexus,29TPE77
Amaranthus viridis,29SMD91
Amaranthus viridis,29TNF33
Amaranthus viridis,29SNC48
Amaranthus viridis,29SNC63
Amaranthus viridis,29SPA09
Amaranthus viridis,29SPB31
Arthrocnemum macrostachyum,29SMD65
Arthrocnemum macrostachyum,29SMC85
Arthrocnemum macrostachyum,29SMC87
Arthrocnemum macrostachyum,29SNA09
Arthrocnemum macrostachyum,29SNC06
Arthrocnemum macrostachyum,29SNB14
Arthrocnemum macrostachyum,29SNC15
Arthrocnemum macrostachyum,29TNE14
Arthrocnemum macrostachyum,29SNB30
Arthrocnemum macrostachyum,29SNB31
Arthrocnemum macrostachyum,29SNB41
Arthrocnemum macrostachyum,29SNB50
Arthrocnemum macrostachyum,29SNA99
Arthrocnemum macrostachyum,29SPA09
Arthrocnemum macrostachyum,29SPB10
Arthrocnemum macrostachyum,29SPB20
Arthrocnemum macrostachyum,29SPB31
Atriplex halimus,29SMC58
Atriplex halimus,29SMD62
Atriplex halimus,29SMD65
Atriplex halimus,29SMC77
Atriplex halimus,29SMC78
Atriplex halimus,29SMC85
Atriplex halimus,29SMC87
Atriplex halimus,29SMC88
Atriplex halimus,29SMC95
Atriplex halimus,29SMC99
Atriplex halimus,29SMD90
Atriplex halimus,29SNA09
Atriplex halimus,29SNB00
Atriplex halimus,29SNB01
Atriplex halimus,29SNC05
Atriplex halimus,29SNC06
Atriplex halimus,29SNC08
Atriplex halimus,29SNC09
Atriplex halimus,29SND01
Atriplex halimus,29SNB10
Atriplex halimus,29SNB13
Atriplex halimus,29SNB14
Atriplex halimus,29SNB17
Atriplex halimus,29SNC15
Atriplex halimus,29SNC16
Atriplex halimus,29SNB20
Atriplex halimus,29SNB26
Atriplex halimus,29SNC26
Atriplex halimus,29SNB30
Atriplex halimus,29SNB31
Atriplex halimus,29SNB40
Atriplex halimus,29SNB41
Atriplex halimus,29SNB50
Atriplex halimus,29SNB60
Atriplex halimus,29SNB70
Atriplex halimus,29SNA89
Atriplex halimus,29SNA99
Atriplex halimus,29SPA09
Atriplex halimus,29SPB10
Atriplex halimus,29SPB20
Atriplex halimus,29SPB21
Atriplex halimus,29SPB31
Atriplex patula,29SND17
Atriplex patula,29SPB03
Atriplex prostrata,29SMD65
Atriplex prostrata,29SMC85
Atriplex prostrata,29SMC87
Atriplex prostrata,29SMC88
Atriplex prostrata,29SMC95
Atriplex prostrata,29SMD91
Atriplex prostrata,29SNB00
Atriplex prostrata,29SND04
Atriplex prostrata,29SND12
Atriplex prostrata,29SNC26
Atriplex prostrata,29SND21
Atriplex prostrata,29SND31
Atriplex prostrata,29TNE37
Atriplex prostrata,29SNB40
Atriplex prostrata,29SNB41
Atriplex prostrata,29SNB45
Atriplex prostrata,29SNC45
Atriplex prostrata,29SNC48
Atriplex prostrata,29SND41
Atriplex prostrata,29TNE45
Atriplex prostrata,29SND51
Atriplex prostrata,29SNB61
Atriplex prostrata,29SND61
Atriplex prostrata,29SNB70
Atriplex prostrata,29SNB80
Atriplex prostrata,29SNB84
Atriplex prostrata,29SNA99
Atriplex prostrata,29SPB01
Atriplex prostrata,29SPB31
Beta macrocarpa,29SMD74
Beta macrocarpa,29SNB41
Beta macrocarpa,29SNA99
Beta maritima,29SMC58
Beta maritima,29SMD60
Beta maritima,29SMD63
Beta maritima,29SMD65
Beta maritima,29SMC77
Beta maritima,29SMC78
Beta maritima,29SMC85
Beta maritima,29SMC87
Beta maritima,29SMC88
Beta maritima,29SMC89
Beta maritima,29SMD87
Beta maritima,29SMC95
Beta maritima,29SNA09
Beta maritima,29SNB01
Beta maritima,29SNC06
Beta maritima,29TNE04
Beta maritima,29SNB13
Beta maritima,29SND12
Beta maritima,29SND13
Beta maritima,29SND14
Beta maritima,29TNE13
Beta maritima,29TNE14
Beta maritima,29TNF19
Beta maritima,29TNG11
Beta maritima,29SNB26
Beta maritima,29SNC29
Beta maritima,29TNG21
Beta maritima,29SNB30
Beta maritima,29SNC39
Beta maritima,29SND34
Beta maritima,29SNB40
Beta maritima,29SNB41
Beta maritima,29SNB45
Beta maritima,29SNC48
Beta maritima,29TNE45
Beta maritima,29SNB50
Beta maritima,29SNB61
Beta maritima,29SNB64
Beta maritima,29SNB66
Beta maritima,29SNC61
Beta maritima,29SND67
Beta maritima,29SNB75
Beta maritima,29SNC70
Beta maritima,29SNA99
Beta maritima,29SPB21
Chenopodium album,29SMC77
Chenopodium album,29SMD71
Chenopodium album,29SMC87
Chenopodium album,29SMC88
Chenopodium album,29SMD90
Chenopodium album,29SMD93
Chenopodium album,29SNB15
Chenopodium album,29SNC18
Chenopodium album,29TNE13
Chenopodium album,29TNF19
Chenopodium album,29SNC20
Chenopodium album,29TNE24
Chenopodium album,29TNF28
Chenopodium album,29SNB33
Chenopodium album,29SNC33
Chenopodium album,29SND34
Chenopodium album,29SNE30
Chenopodium album,29TNF33
Chenopodium album,29TNF39
Chenopodium album,29SNB42
Chenopodium album,29SNC48
Chenopodium album,29SND41
Chenopodium album,29SNE40
Chenopodium album,29TNE44
Chenopodium album,29TNE45
Chenopodium album,29TNF44
Chenopodium album,29TNF45
Chenopodium album,29SNB50
Chenopodium album,29SNC50
Chenopodium album,29SND56
Chenopodium album,29TNE54
Chenopodium album,29TNE55
Chenopodium album,29TNE56
Chenopodium album,29SNB61
Chenopodium album,29SNC62
Chenopodium album,29SNC63
Chenopodium album,29TNE63
Chenopodium album,29TNF62
Chenopodium album,29SNB82
Chenopodium album,29SNE80
Chenopodium album,29SNE81
Chenopodium album,29SNA99
Chenopodium album,29SNB90
Chenopodium album,29SNB93
Chenopodium album,29TNE95
Chenopodium album,29SPB16
Chenopodium album,29SPD18
Chenopodium album,29TPF18
Chenopodium album,29TPG13
Chenopodium album,29TPF25
Chenopodium album,29TPF26
Chenopodium album,29SPE41
Chenopodium album,29SPE52
Chenopodium album,29TPF51
Chenopodium album,29TPF54
Chenopodium album,29TPF55
Chenopodium album,29TPF57
Chenopodium album,29TPE63
Chenopodium album,29TPE66
Chenopodium album,29TPF65
Chenopodium album,29TPE79
Chenopodium album,29TPG70
Chenopodium album,29TPF98
Chenopodium album,29TPF99
Chenopodium album,29TQF19
Chenopodium ambrosioides,29SMC87
Chenopodium ambrosioides,29SMC88
Chenopodium ambrosioides,29SND12
Chenopodium ambrosioides,29SND22
Chenopodium ambrosioides,29TNE25
Chenopodium ambrosioides,29TNF23
Chenopodium ambrosioides,29SNC30
Chenopodium ambrosioides,29SNC39
Chenopodium ambrosioides,29SNC48
Chenopodium ambrosioides,29SND41
Chenopodium ambrosioides,29SND51
Chenopodium ambrosioides,29SND61
Chenopodium ambrosioides,29SND78
Chenopodium ambrosioides,29SND79
Chenopodium ambrosioides,29SNE70
Chenopodium ambrosioides,29SNB80
Chenopodium ambrosioides,29SND87
Chenopodium ambrosioides,29SNE80
Chenopodium ambrosioides,29SNE81
Chenopodium ambrosioides,29SND98
Chenopodium ambrosioides,29SND99
Chenopodium ambrosioides,29SPD09
Chenopodium ambrosioides,29TPE03
Chenopodium botrys,29TPF65
Chenopodium chenopodioides,29TNE25
Chenopodium chenopodioides,29SND61
Chenopodium chenopodioides,29SNB80
Chenopodium glaucum,29SND46
Chenopodium murale,29SMC78
Chenopodium murale,29SMC87
Chenopodium murale,29SMC88
Chenopodium murale,29SMC97
Chenopodium murale,29TNF19
Chenopodium murale,29SNB24
Chenopodium murale,29SND22
Chenopodium murale,29TNF28
Chenopodium murale,29SNC32
Chenopodium murale,29TNF33
Chenopodium murale,29SNC63
Chenopodium murale,29TNE64
Chenopodium murale,29SNA89
Chenopodium murale,29SNA99
Chenopodium murale,29SNB90
Chenopodium murale,29SPE52
Chenopodium opulifolium,29TPF55
Chenopodium polyspermum,29TNE45
Chenopodium polyspermum,29TPF09
Chenopodium polyspermum,29TPE67
Chenopodium pumilio,29SND21
Chenopodium pumilio,29SNB84
Chenopodium pumilio,29SPB14
Chenopodium pumilio,29SPB28
Chenopodium pumilio,29SPB32
Chenopodium pumilio,29SPB33
Chenopodium vulvaria,29SMD60
Chenopodium vulvaria,29SMD93
Chenopodium vulvaria,29SND01
Chenopodium vulvaria,29SND17
Chenopodium vulvaria,29SNC30
Chenopodium vulvaria,29SNE51
Chenopodium vulvaria,29SNB60
Chenopodium vulvaria,29SNB72
Chenopodium vulvaria,29SNC77
Chenopodium vulvaria,29SNB82
Chenopodium vulvaria,29SPB00
Chenopodium vulvaria,29SPB07
Chenopodium vulvaria,29SPB21
Chenopodium vulvaria,29SPB31
Chenopodium vulvaria,29SPB34
Chenopodium vulvaria,29SPD36
Chenopodium vulvaria,29TPF99
Halimione portulacoides,29SMD65
Halimione portulacoides,29SMC99
Halimione portulacoides,29SNC06
Halimione portulacoides,29SNC08
Halimione portulacoides,29SNC09
Halimione portulacoides,29SNB14
Halimione portulacoides,29SNC15
Halimione portulacoides,29SNC16
Halimione portulacoides,29TNE13
Halimione portulacoides,29TNE14
Halimione portulacoides,29TNE18
Halimione portulacoides,29TNF19
Halimione portulacoides,29TNG12
Halimione portulacoides,29SNB26
Halimione portulacoides,29SNB27
Halimione portulacoides,29SNC25
Halimione portulacoides,29SNC26
Halimione portulacoides,29TNE28
