"Taxon","UTM.cell"
"Centaurea_langei","29TPH90"
"Centaurea_langei","29TPH91"
"Centaurea_langei","29TQE05"
"Centaurea_langei","29TQG19"
"Centaurea_langei","29TQG38"
"Centaurea_langei","29TQG39"
"Centaurea_langei","29TQH01"
"Centaurea_langei","29TQH09"
"Centaurea_langei","29TQH15"
"Centaurea_langei","29TQH16"
"Centaurea_langei","29TQH22"
"Centaurea_langei","29TQH26"
"Centaurea_langei","29TQH40"
"Centaurea_langei","30STJ97"
"Centaurea_langei","30TTK56"
"Centaurea_langei","30TTK63"
"Centaurea_langei","30TTK64"
"Centaurea_langei","30TTK75"
"Centaurea_langei","30TTK76"
"Centaurea_langei","30TTK95"
"Centaurea_langei","30TTM58"
"Centaurea_langei","30TTM68"
"Centaurea_langei","30TTM96"
"Centaurea_langei","30TTN55"
"Centaurea_langei","30TTN60"
"Centaurea_langei","30TTN80"
"Centaurea_langei","30TTN81"
"Centaurea_langei","30TTN83"
"Centaurea_langei","30TTN84"
"Centaurea_langei","30TTN85"
"Centaurea_langei","30TTN93"
"Centaurea_langei","30TTN94"
"Centaurea_langei","30TUN04"
"Centaurea_langei","30TUN05"
"Centaurea_langei","30TUN15"
"Centaurea_langei","30TUN34"
"Centaurea_langei","30TUN35"
"Centaurea_langei","30TUN36"
"Centaurea_langei","30TUN46"
"Centaurea_langei","30TUN53"
"Centaurea_langei","30TUN55"
"Centaurea_langei","30TUN56"
"Centaurea_langei","30TUN65"
"Centaurea_langei","30TUN67"
"Centaurea_langei","30TUN74"
"Centaurea_langei","30TUN75"
"Centaurea_langei","30TUN84"
"Centaurea_langei","30TUN85"
"Centaurea_langei","30TVN04"
"Centaurea_langei","30TVN05"
"Centaurea_bethurica","29SPD14"
"Centaurea_bethurica","29SPD96"
"Centaurea_bethurica","29SQD15"
"Centaurea_bethurica","29SQD36"
"Centaurea_bethurica","30STJ85"
"Centaurea_bethurica","30STJ88"
"Centaurea_bethurica","30STJ96"
"Centaurea_bethurica","30STK60"
"Centaurea_bethurica","30STK71"
"Centaurea_bethurica","30SUH85"
"Centaurea_bethurica","30SUJ08"
"Centaurea_bethurica","30SUJ09"
"Centaurea_bethurica","30SUJ14"
"Centaurea_bethurica","30SUJ23"
"Centaurea_bethurica","30SUJ31"
"Centaurea_bethurica","30SUJ33"
"Centaurea_bethurica","30SUJ78"
"Centaurea_bethurica","30SUJ81"
"Centaurea_bethurica","30SUJ92"
"Centaurea_castellanoides","30STF87"
"Centaurea_castellanoides","30STF88"
"Centaurea_castellanoides","30STF96"
"Centaurea_castellanoides","30SUF06"
"Centaurea_castellanoides","30SUF16"
"Centaurea_castellanoides","30SUF26"
"Centaurea_castellanoides","30SUG83"
"Centaurea_castellanoides","30SUG84"
"Centaurea_castellanoides","30SUG94"
"Centaurea_castellanoides","30SVG17"
"Centaurea_castellanoides","30SVG22"
"Centaurea_castellanoides","30SVG25"
"Centaurea_castellanoides","30SVG26"
"Centaurea_castellanoides","30SVG27"
"Centaurea_castellanoides","30SVG35"
"Centaurea_castellanoides","30SVG37"
"Centaurea_castellanoides","30SVG45"
"Centaurea_castellanoides","30SVG46"
"Centaurea_castellanoides","30SVG47"
"Centaurea_castellanoides","30SVG52"
"Centaurea_castellanoides","30SVG67"
"Centaurea_castellanoides","30SVG98"
"Centaurea_castellanoides","30SVH59"
"Centaurea_castellanoides","30SVH83"
