"Taxon","UTM.cell"
"Acer pseudoplatanus","30TXK36"
"Acer pseudoplatanus","30TXK37"
"Acer pseudoplatanus","30TXL90"
"Acer pseudoplatanus","30TXP00"
"Acer pseudoplatanus","30TXP21"
"Acer pseudoplatanus","30TXP81"
"Acer pseudoplatanus","30TYK15"
"Acer pseudoplatanus","30TYK18"
"Acer pseudoplatanus","30TYK19"
"Acer pseudoplatanus","31TBE58"
"Acer pseudoplatanus","31TBH94"
"Acer pseudoplatanus","31TCF37"
"Acer pseudoplatanus","31TCF48"
"Acer pseudoplatanus","31TCG13"
"Acer pseudoplatanus","31TCG23"
"Acer pseudoplatanus","31TCG75"
"Acer pseudoplatanus","31TDF28"
"Acer pseudoplatanus","31TDF38"
"Acer pseudoplatanus","31TDG00"
"Acer pseudoplatanus","31TDG05"
"Acer pseudoplatanus","31TDG23"
"Acer pseudoplatanus","31TDG24"
"Acer pseudoplatanus","31TDG42"
"Acer pseudoplatanus","31TDG52"
"Acer pseudoplatanus","31TDG54"
"Acer pseudoplatanus","31TEG14"
"Achillea millefolium","30TXN48"
"Achillea millefolium","30TXN49"
"Achillea millefolium","30TXN76"
"Achillea millefolium","30TXN86"
"Achillea millefolium","30TXP12"
"Achillea millefolium","30TXP21"
"Achillea millefolium","30TXP41"
"Achillea odorata","30TXK71"
"Achillea odorata","30TXK81"
"Achillea santolinoides","30SYH23"
"Achillea tomentosa","30TUL71"
"Acinos arvensis","31SDD67"
"Acinos arvensis","31SDD97"
"Acinos arvensis","31SED16"
"Aconitum anthora","30TXN57"
"Aconitum anthora","30TXN96"
"Aconitum anthora","30TYN05"
"Aconitum anthora","30TYN16"
"Aconitum napellus lusitanicum","30TVN93"
"Aconitum napellus lusitanicum","30TVN94"
"Aconitum napellus lusitanicum","30TWN02"
"Aconitum napellus lusitanicum","30TWN15"
"Aconitum napellus lusitanicum","30TWN24"
"Aconitum napellus lusitanicum","30TWN34"
"Aconitum napellus lusitanicum","30TWN41"
"Aconitum napellus lusitanicum","30TWN43"
"Aconitum napellus lusitanicum","30TWN45"
"Aconitum napellus lusitanicum","30TWN53"
"Aconitum napellus lusitanicum","30TWN55"
"Aconitum napellus lusitanicum","30TWN75"
"Aconitum napellus vulgare","30TXN76"
"Aconitum napellus vulgare","30TYN05"
"Aconitum variegatum pyrenaicum","30TUN48"
"Aconitum variegatum pyrenaicum","30TUN57"
"Aconitum variegatum pyrenaicum","30TXN96"
"Aconitum variegatum pyrenaicum","30TXN97"
"Actaea spicata","30TXN97"
"Adenocarpus aureus","29TNE44"
"Adenocarpus aureus","29TNE75"
"Adenocarpus aureus","29TPE09"
"Adenocarpus complicatus","30TXP43"
"Adenocarpus complicatus","30TXP71"
"Adenocarpus complicatus","30TYN08"
"Adenocarpus complicatus","30TYP00"
"Adenocarpus hispanicus","29SNB40"
"Adenocarpus hispanicus","29SQA29"
"Adenocarpus hispanicus","29SQD29"
"Adenocarpus hispanicus","29SQD32"
"Adenocarpus hispanicus","29SQD49"
"Adenocarpus hispanicus","29SQE10"
"Adenocarpus hispanicus","29SQE11"
"Adenocarpus hispanicus","29SQE20"
"Adenocarpus hispanicus","29SQE30"
"Adenocarpus hispanicus","29SQE31"
"Adenocarpus hispanicus","29SQE40"
"Adenocarpus hispanicus","29SQE50"
"Adenocarpus hispanicus","29SQE51"
"Adenocarpus hispanicus","29TNF29"
"Adenocarpus hispanicus","29TPE16"
"Adenocarpus hispanicus","29TPE24"
"Adenocarpus hispanicus","29TPE27"
"Adenocarpus hispanicus","29TPE73"
"Adenocarpus hispanicus","29TPE74"
"Adenocarpus hispanicus","29TPE75"
"Adenocarpus hispanicus","29TPE85"
"Adenocarpus hispanicus","29TPE95"
"Adenocarpus hispanicus","29TQE16"
"Adenocarpus hispanicus","29TQE27"
"Adenocarpus hispanicus","29TQE28"
"Adenocarpus hispanicus","29TQE33"
"Adenocarpus hispanicus","29TQE37"
"Adenocarpus hispanicus","29TQE38"
