Taxon,UTM10x10,Notas
Quercus canariensis,29SND07,improbable (CSM rev IRG)
Quercus canariensis,29SND04,improbable (CSM rev IRG)
Quercus canariensis,29SMD93,improbable (CSM rev IRG)
Quercus canariensis,29SMD70,improbable (CSM rev IRG)
Quercus canariensis,29SMC88,improbable (CSM rev IRG)
Quercus canariensis,29SNC30,improbable (CSM rev IRG)
Quercus canariensis,29SNC31,improbable (CSM rev IRG)
Quercus canariensis,29SNC32,improbable (CSM rev IRG)
Quercus canariensis,29SNC62,improbable (CSM rev IRG)
Quercus canariensis,29SPB29,improbable (CSM rev IRG)
Quercus canariensis,29SQD00,improbable (CSM rev IRG)
Quercus canariensis,30TVL90,improbable (CSM rev IRG)
Quercus canariensis,30TWL54,improbable (CSM rev IRG)
Quercus canariensis,30TWK58,improbable (CSM rev IRG)
Quercus canariensis,30TWK98,improbable (CSM rev IRG)
Quercus canariensis,30TWK95,improbable (CSM rev IRG)
Quercus canariensis,30TYK03,improbable (CSM rev IRG)
Quercus canariensis,30SWJ98,improbable (CSM rev IRG)
Quercus canariensis,30SWJ77,improbable (CSM rev IRG)
Quercus robur,30SVF99,CSM
Quercus robur,29SPB95,CSM
Quercus robur,29SQB09,CSM
Quercus robur,29SQC21,CSM
Quercus robur,29SQD00,CSM
Quercus robur,29SQD53,CSM
Quercus robur,30SUJ20,CSM
Quercus robur,30SUJ21,CSM
Thymelaea dioica,30SVG26,CSM
Teucrium fruticans,30TVK86,IRG
Teucrium fruticans,30SXJ78,IRG
Teucrium fruticans,30SYJ29,IRG
Teucrium fruticans,31TBE43,IRG
Teucrium pseudoscorodonia,29SNB41,IRG
Teucrium pseudoscorodonia,29SPC46,IRG
Teucrium pseudoscorodonia,29SPC56,IRG
Teucrium pseudoscorodonia,29SPD54,IRG
Teucrium pseudoscorodonia,29SQC11,IRG
Teucrium pseudoscorodonia,29SQC41,IRG
Teucrium pseudoscorodonia,29SQE41,IRG
Teucrium pseudoscorodonia,29TQE16,IRG
Teucrium pseudoscorodonia,29TQE37,IRG
Teucrium pseudoscorodonia,29TQE47,IRG
Teucrium pseudoscorodonia,30SUJ07,IRG
Teucrium pseudoscorodonia,30SUJ62,IRG
Thapsia garganica,29SNB82,IRG
Thapsia garganica,29SPB06,IRG
Thapsia garganica,29SPB29,IRG
Thapsia garganica,29SPC62,IRG
Thapsia garganica,29SPC67,IRG
Thapsia garganica,29SPD58,IRG
Thapsia garganica,29SPD61,IRG
Thapsia garganica,29SPD89,IRG
Thapsia garganica,29SQC11,IRG
Thapsia garganica,29SQC24,IRG
Thapsia garganica,29SQD27,IRG
Thapsia garganica,30STG95,IRG
Thapsia garganica,30STH85,IRG
Thapsia garganica,30STJ40,IRG
Thapsia garganica,30SUH37,IRG
Thapsia garganica,30SVG59,IRG
Thymelaea villosa,30SWG70,IRG
Tragopogon crocifolius,29SQD02,IRG
Tragopogon crocifolius,29SQC36,IRG
Tragopogon crocifolius,29SQC44,IRG
Trifolium bocconei,30SYJ22,IRG
Trifolium hybridum,30STK52,IRG
Trifolium hybridum,29SQD21,IRG
Trifolium hybridum,29SPD70,IRG
Trifolium hybridum,29SQC45,IRG
Trifolium hybridum,29SQC40,IRG
Trifolium hybridum,29SMD94,IRG
Trifolium incarnatum,29SMC77,IRG
Trifolium incarnatum,29SMC88,IRG
Trifolium incarnatum,29SND28,IRG
Trifolium incarnatum,29SND67,IRG
Trifolium incarnatum,29SPB29,IRG
Trifolium incarnatum,29SPC20,IRG
Trifolium incarnatum,29SPC49,IRG
Trifolium incarnatum,29SPC59,IRG
Trifolium incarnatum,29SPD26,IRG
Trifolium incarnatum,29SPD70,IRG
Trifolium incarnatum,29SPE32,IRG
Trifolium incarnatum,29SQD27,IRG
Trifolium incarnatum,29SQE11,IRG
Trifolium incarnatum,29TNE65,IRG
Trifolium incarnatum,29TNF25,IRG
Trifolium incarnatum,29TNF44,IRG
