Taxon,UTM10x10,UTM1x1,Ref
Filago fuscescens,30SYH15,30SYH1951,https://www.doi.org/10.15470/akznrb
Selaginella denticulata,31SBD40,---,https://www.doi.org/10.15470/akznrb
Anthyllis terniflora,30SYH25,30SYH2155,https://www.doi.org/10.15470/akznrb
Geranium purpureum,30SYH59,30SYH5495,https://www.doi.org/10.15470/akznrb
Phlomis lychnitis,30SYH59,---,https://www.doi.org/10.15470/akznrb
Thymelaea argentata,30SXH71,---,https://www.doi.org/10.15470/akznrb
Genista jimenezii,30SXG99,30SXG9697,https://www.doi.org/10.15470/akznrb
Aristida coerulescens,30SXH71,30SXH7717,https://www.doi.org/10.15470/akznrb
Sideritis glauca,30SXH71,30SXH7617,https://www.doi.org/10.15470/akznrb
Sedum rubens,31SBC49,---,https://www.doi.org/10.15470/akznrb
Zannichellia peltata,30SYJ50,---,https://www.doi.org/10.15470/akznrb
Thymbra capitata,31SBC48,---,https://www.doi.org/10.15470/akznrb
Thymus moroderi,30SYH06,30SYH0162,https://www.doi.org/10.15470/akznrb
Carduncellus dianius,31SBC59,---,https://www.doi.org/10.15470/akznrb
Biscutella sempervirens sempervirens,30SYH59,---,https://www.doi.org/10.15470/akznrb
Pteridium aquilinum,30SYH19,30SYH1797,https://www.doi.org/10.15470/akznrb
Limonium cossonianum,30SYH14,30SYH1640,https://www.doi.org/10.15470/akznrb
Limonium furfuraceum,30SYH14,30SYH1640,https://www.doi.org/10.15470/akznrb
Tamarix boveana,30SXH90,---,https://www.doi.org/10.15470/akznrb
Diplotaxis ilorcitana,30SYH15,30SYH1651,https://www.doi.org/10.15470/akznrb
Spergularia diandra,30SYH15,30SYH1751,https://www.doi.org/10.15470/akznrb
Vella lucentina,30SYH16,30SYH1061,https://www.doi.org/10.15470/akznrb
Matthiola fruticulosa fruticulosa,30SYH16,30SYH1160,https://www.doi.org/10.15470/akznrb
Plantago ovata,30SYH15,30SYH1751,https://www.doi.org/10.15470/akznrb
Filago mareotica,30SYHo2,30SYHo727,https://www.doi.org/10.15470/akznrb
Tamarix gallica,30SYH02,---,https://www.doi.org/10.15470/akznrb
Limonium caesium,30SYH13,30SYH1030,https://www.doi.org/10.15470/akznrb
Frankenia corymbosa,30SYH13,30SYH1030,https://www.doi.org/10.15470/akznrb
Ruppia cirrhosa,30SYH02,---,https://www.doi.org/10.15470/akznrb
Halocnemum strobilaceum,30SYH12,30SYH1029,https://www.doi.org/10.15470/akznrb
Parapholis incurva,30SXH86,---,https://www.doi.org/10.15470/akznrb
Tamarix boveana,30SXH86,---,https://www.doi.org/10.15470/akznrb
Thymelaea tartonraira valentina,30SYH14,---,https://www.doi.org/10.15470/akznrb
Sideritis tragoriganum,30SYH14,---,https://www.doi.org/10.15470/akznrb
Sanguisorba ancistroides,30SXH83,---,https://www.doi.org/10.15470/akznrb
Sideritis leucantha,30SXH83,---,https://www.doi.org/10.15470/akznrb
Erysimum myriophyllum,30SYH19,30SYH1392,https://www.doi.org/10.15470/akznrb
Salvia valentina,30SYH38,30SYH3882,https://www.doi.org/10.15470/akznrb
Anabasis articulata,30SYH25,---,https://www.doi.org/10.15470/akznrb
Mercurialis tomentosa,31SBC48,---,https://www.doi.org/10.15470/akznrb
Andryala integrifolia,31SBC48,---,https://www.doi.org/10.15470/akznrb
Brachypodium distachyon,30SYH59,30SYH5498,https://www.doi.org/10.15470/akznrb
Tamarix gallica,30SXG99,30SXG9794,https://www.doi.org/10.15470/akznrb
Cyperus longus,30SXG99,30SXG9794,https://www.doi.org/10.15470/akznrb
Smyrnium olusatrum,30SWF88,30SWF8587,https://www.doi.org/10.15470/akznrb
Convolvulus althaeoides,30SWF36,30SWF3569,https://www.doi.org/10.15470/akznrb
Silene acutifolia,30SWF59,---,https://www.doi.org/10.15470/akznrb
Limonium insigne,30SWF47,---,https://www.doi.org/10.15470/akznrb
Limonium angustebracteatum,30SWF47,---,https://www.doi.org/10.15470/akznrb
Tamarix gallica,30SWF57,---,https://www.doi.org/10.15470/akznrb
Coincya monensis cheiranthos,30SWF09,---,https://www.doi.org/10.15470/akznrb
Genista spartioides,30SWF76,---,https://www.doi.org/10.15470/akznrb
Brassica tournefortii,30SXG01,30SXG0518,https://www.doi.org/10.15470/akznrb
Adenocarpus decorticans,30SVG90,30SVG9807,https://www.doi.org/10.15470/akznrb
Lavandula latifolia,30SWG77,---,https://www.doi.org/10.15470/akznrb
Sideritis ibanyezii,30SWG03,30SWG0836,https://www.doi.org/10.15470/akznrb
Artemisia barrelieri,30SWG03,30SWG0836,https://www.doi.org/10.15470/akznrb
Diplotaxis ilorcitana,30SXG03,30SXG0836,https://www.doi.org/10.15470/akznrb
Diplotaxis harra lagascana,30SXG03,30SXG0836,https://www.doi.org/10.15470/akznrb
Fagonia cretica,30SXG03,30SXG0836,https://www.doi.org/10.15470/akznrb
Launaea arborescens,30SXG03,30SXG0836,https://www.doi.org/10.15470/akznrb
Launaea lanifera,30SXG03,30SXG0836,https://www.doi.org/10.15470/akznrb
Anthyllis cytisoides,30SXG03,30SXG0836,https://www.doi.org/10.15470/akznrb
Thymelaea hirsuta,30SXG03,30SXG0836,https://www.doi.org/10.15470/akznrb
Plantago ovata,30SXG03,30SXG0836,https://www.doi.org/10.15470/akznrb
Helianthemum almeriense,30SXG03,30SXG0836,https://www.doi.org/10.15470/akznrb
Suaeda vera,30SXG03,30SXG0836,https://www.doi.org/10.15470/akznrb
Anabasis articulata,30SXG03,30SXG0836,https://www.doi.org/10.15470/akznrb
Salsola oppositifolia,30SXG03,30SXG0836,https://www.doi.org/10.15470/akznrb
Moricandia arvensis,30SXG12,30SXG1129,https://www.doi.org/10.15470/akznrb
Lavandula dentata,30SXG13,30SXG1438,https://www.doi.org/10.15470/akznrb
Periploca laevigata,30SXG13,30SXG1438,https://www.doi.org/10.15470/akznrb
Teucrium pseudochamaepitys,30SXG13,30SXG1438,https://www.doi.org/10.15470/akznrb
Cistus albidus,30SXG13,30SXG1438,https://www.doi.org/10.15470/akznrb
Pistacia lentiscus,30SXG13,30SXG1438,https://www.doi.org/10.15470/akznrb
Aizoon hispanicum,30SXG13,30SXG1438,https://www.doi.org/10.15470/akznrb
Asteriscus aquaticus,30SWG13,30SWG1438,https://www.doi.org/10.15470/akznrb
Lycium intricatum,30SXG13,30SXG1438,https://www.doi.org/10.15470/akznrb
Teucrium freynii,30SXG13,30SXG1438,https://www.doi.org/10.15470/akznrb
Osyris lanceolata,30SXG13,30SXG1438,https://www.doi.org/10.15470/akznrb
Lithodora fruticosa,30SXG13,30SXG1438,https://www.doi.org/10.15470/akznrb
Genista jimenezii,30SXG13,30SXG1438,https://www.doi.org/10.15470/akznrb
Linaria pedunculata,30SWF36,---,https://www.doi.org/10.15470/akznrb
Limonium sinuatum,30SWF36,---,https://www.doi.org/10.15470/akznrb
Teucrium dunense,30SXG29,---,https://www.doi.org/10.15470/akznrb
Launaea lanifera,30SWF85,30SWF8557,https://www.doi.org/10.15470/akznrb
Ammoides pusilla,30SWF87,30SWF8278,https://www.doi.org/10.15470/akznrb
Rumex intermedius,30SWF87,30SWF8278,https://www.doi.org/10.15470/akznrb
Cheirolophus intybaceus,30SWF87,30SWF8278,https://www.doi.org/10.15470/akznrb
Salsola genistoides,30SWF87,30SWF8679,https://www.doi.org/10.15470/akznrb
Trifolium glomeratum,30SWF87,30SWF8278,https://www.doi.org/10.15470/akznrb
Rumex intermedius,30SWF87,30SWF8177,https://www.doi.org/10.15470/akznrb
Ruppia cirrhosa,30SWF66,---,https://www.doi.org/10.15470/akznrb
Silene littorea littorea,30SWF66,30SWF6968,https://www.doi.org/10.15470/akznrb
Tamarix boveana,30SWF67,30SWF6970,https://www.doi.org/10.15470/akznrb
Halocnemum strobilaceum,30SXG13,---,https://www.doi.org/10.15470/akznrb
Atriplex glauca,30SXG13,---,https://www.doi.org/10.15470/akznrb
Thymelaea hirsuta,30SXG13,---,https://www.doi.org/10.15470/akznrb
